Country,N,Mean,Mean_SE,median,Gini,Gini_SE,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,HC_20,HC_50,HC_80,HC_SE_20,HC_SE_50,HC_SE_80,CI_lower_20,CI_lower_50,CI_lower_80,CI_upper_20,CI_upper_50,CI_upper_80
lu00,2433,44934.47345,535.71434,38428.77569,0.303698259,0.00475787,3.311012306,8.101507656,13.93823274,20.84848094,28.86622872,38.04599427,48.8158787,61.69180863,77.24119358,100,0.006418084,0.167230019,0.445567216,0.00161895,0.007565691,0.010076507,0.003245,0.152401537,0.425817625,0.009591168,0.182058501,0.465316807
lu01,2295,47325.62672,611.33597,40726.42635,0.30753586,0.00553756,3.260368383,8.055470703,13.87830179,20.76107387,28.76122421,37.95005455,48.62716145,61.33856546,76.57651797,100,0.002682631,0.163286281,0.449996806,0.001079707,0.00771564,0.010384748,0.000566445,0.148163905,0.429643073,0.004798817,0.178408657,0.470350539
lu02,3531,51631.11314,595.15015,43338,0.318034361,0.00579971,3.154497925,7.854845946,13.60736081,20.41022464,28.2018391,37.29020302,47.87103815,60.34025315,75.61855465,100,0.009116837,0.17750272,0.472223398,0.001599501,0.006430147,0.008401367,0.005981873,0.164899864,0.455757021,0.012251801,0.190105576,0.488689775
lu03,3562,52881.81022,540.961,45547.67236,0.30710873,0.00565367,3.075344778,7.962328808,13.8923225,20.75764883,28.66758033,37.9823342,48.7985368,61.5059524,76.73407497,100,0.014039372,0.157364113,0.455879227,0.001971318,0.006101349,0.008344986,0.01017566,0.145405689,0.439523356,0.017903084,0.169322537,0.472235098
lu04,3614,55134.44759,581.28755,47764,0.309372566,0.00606615,3.016878838,7.798010077,13.68153861,20.5360927,28.56575609,37.90381845,48.64828628,61.37563918,76.72169215,100,0.013078119,0.168807643,0.448702651,0.001889818,0.006230928,0.008273289,0.009374144,0.156595248,0.432487303,0.016782094,0.181020038,0.464917999
lu05,3826,56405.70315,615.14157,48488,0.323551887,0.0063939,2.856482784,7.513449774,13.23718993,19.97228668,27.84589975,37.00826922,47.63813578,60.14757309,75.39201664,100,0.017340517,0.178780628,0.462483057,0.002110377,0.006194658,0.008060677,0.013204254,0.166639321,0.446684421,0.02147678,0.190921935,0.478281693
lu06,3881,58563.20526,636.67762,49158,0.319033447,0.00664219,3.10232216,7.792072956,13.54616309,20.2901489,28.08848808,37.15512258,47.74578052,60.3097817,75.7106047,100,0.011013258,0.180261597,0.46255381,0.001675257,0.006170458,0.008003442,0.007729816,0.168167721,0.446867352,0.0142967,0.192355473,0.478240268
lu07,3766,60495.45735,661.57843,51537,0.315677695,0.0064213,3.018660805,7.741297242,13.56791241,20.43769325,28.3828437,37.57069835,48.1418702,60.72744608,75.89327094,100,0.01220883,0.173256454,0.453703312,0.001789491,0.006167227,0.008112601,0.008701493,0.16116891,0.437802907,0.015716167,0.185343998,0.469603717
lu08,4239,62502.49265,702.44622,52471.74414,0.325843615,0.00752683,2.951141029,7.578481092,13.32680954,20.0885958,27.929071,36.90465504,47.39281982,59.8107793,74.8667389,100,0.012123747,0.180913392,0.464654793,0.001680885,0.005912465,0.007660383,0.008829273,0.169325174,0.449640719,0.015418221,0.19250161,0.479668867
lu09,4848,64325.97655,694.20585,54448,0.319938218,0.00627559,3.01626865,7.588281852,13.27845214,20.12460178,28.0185877,37.14132355,47.83885885,60.46927281,75.89813835,100,0.00862301,0.183551106,0.460866732,0.001327907,0.005559832,0.007159034,0.006020361,0.172654035,0.446835283,0.011225659,0.194448177,0.474898181
lu10,5443,63159.30385,547.2805,54633,0.311266652,0.00562098,2.963561764,7.586120736,13.38712515,20.34354992,28.38558284,37.75271328,48.6107107,61.38713441,76.92944882,100,0.012101393,0.181352408,0.446092168,0.001482022,0.005222651,0.006737703,0.009196683,0.1711162,0.432886512,0.015006103,0.191588616,0.459297824
